Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R71,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.584,47.176,-90.0,top
R72,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,98.552,47.176,-90.0,top
R73,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,96.52,47.192,-90.0,top
R74,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,94.488,47.176,-90.0,top
R75,2.2K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,53.467,75.819,-90.0,top
R76,100K,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,22.352,47.879,90.0,top
R77,100K,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,30.099,47.879,90.0,top
R78,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.59,42.545,-90.0,top
R79,10K**,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.911,79.121,0.0,top
R80,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.911,81.026,180.0,top
R81,4.7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.878,41.91,-90.0,top
R84,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,150.495,42.545,-90.0,top
R85,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,154.305,42.545,-90.0,top
R86,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.4,42.545,-90.0,top
R87,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.463,76.835,-90.0,top
R88,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,146.558,50.8,90.0,top
R89,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.526,77.724,180.0,top
R90,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,141.732,77.724,180.0,top
R91,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.59,50.8,90.0,top
R92,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,133.731,79.629,-90.0,top
R94,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,34.417,69.342,0.0,top
R95,68K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.575,76.835,-90.0,top
